Shipping_id,order_id,shipping_date,return_date,shipping_provider,delivery_status
1,1,2024-06-14,2024-06-20,DTDC,Delivered
2,2,2024-09-25,,Delhivery,In Transit
3,3,2024-03-03,2024-03-12,Ecom Express,Delivered
4,4,2024-04-12,2024-04-15,Delhivery,Delivered
5,5,2024-09-12,,Ecom Express,Returned
6,6,2024-10-07,,Ecom Express,Returned
7,7,2024-08-02,,Ecom Express,Returned
8,8,2024-07-15,,DTDC,Delivered
9,9,2024-04-23,2024-04-29,Ecom Express,Returned
10,10,2024-03-10,,Delhivery,Delivered
11,11,2024-02-13,,Delhivery,Delivered
12,12,2024-11-16,,Ecom Express,Returned
13,13,2024-09-19,,DTDC,Delivered
14,14,2024-02-17,,Delhivery,In Transit
15,15,2024-05-31,,Ecom Express,Returned
16,16,2024-01-11,,Ecom Express,Delivered
17,17,2024-12-05,,BlueDart,In Transit
18,18,2024-12-16,,DTDC,Delivered
19,19,2024-06-18,,Ecom Express,In Transit
20,20,2024-12-13,,Ecom Express,In Transit
21,21,2024-05-08,,Ecom Express,Returned
22,22,2024-07-29,,Ecom Express,Returned
23,23,2024-09-24,,DTDC,Delivered
24,24,2024-11-13,,Ecom Express,Returned
25,25,2024-05-13,,BlueDart,Returned
26,26,2024-04-19,,Delhivery,Delivered
27,27,2024-09-11,,DTDC,Returned
28,28,2024-07-23,2024-08-01,Delhivery,Returned
29,29,2024-03-10,,Ecom Express,Delivered
30,30,2024-03-03,,Ecom Express,In Transit
31,31,2024-11-02,,BlueDart,Delivered
32,32,2024-01-15,,Delhivery,Delivered
33,33,2024-10-31,,BlueDart,Delivered
34,34,2024-03-18,,DTDC,Delivered
35,35,2024-07-23,,Delhivery,In Transit
36,36,2024-08-18,,DTDC,Delivered
37,37,2024-12-14,,DTDC,Returned
38,38,2024-06-13,,DTDC,Returned
39,39,2024-04-16,,DTDC,Delivered
40,40,2024-12-20,,Delhivery,In Transit
41,41,2024-10-01,,DTDC,Returned
42,42,2024-01-24,,Delhivery,Delivered
43,43,2024-01-29,,Delhivery,Returned
44,44,2024-12-04,2024-12-10,Ecom Express,Delivered
45,45,2024-10-05,,Ecom Express,Returned
46,46,2024-02-21,,BlueDart,Delivered
47,47,2024-08-11,,DTDC,In Transit
48,48,2024-09-05,2024-09-08,Ecom Express,Delivered
49,49,2024-07-19,,Delhivery,Delivered
50,50,2024-03-22,2024-03-31,BlueDart,In Transit
51,51,2024-03-20,2024-03-28,DTDC,Returned
52,52,2024-05-19,,DTDC,In Transit
53,53,2024-03-01,,BlueDart,Returned
54,54,2024-07-23,2024-07-28,DTDC,Returned
55,55,2024-12-29,,Ecom Express,Delivered
56,56,2024-02-10,,Delhivery,Returned
