order_item_id,order_id,product_id,quantity,price_per_unit
1,1,629,1,60978
2,2,553,2,64163
3,3,270,1,46303
4,4,526,2,66020
5,5,619,1,31026
6,6,197,1,17402
7,7,2,1,28679
8,8,123,1,11791
9,9,102,1,28440
10,10,574,1,42600
11,11,493,3,31558
12,12,139,1,3298
13,13,650,2,33069
14,14,146,2,78478
15,15,150,2,41907
16,16,240,3,9721
17,17,705,2,50177
18,18,447,2,71849
19,19,55,1,10416
20,20,733,2,35839
21,21,483,3,60849
22,22,343,1,31377
23,23,574,2,62094
24,24,760,2,63007
25,25,566,1,40520
26,26,130,2,43347
27,27,474,2,18577
28,28,90,2,41518
29,29,302,2,60936
30,30,740,1,23255
31,31,130,3,22690
32,32,232,3,61456
33,33,706,1,6072
34,34,27,3,23066
35,35,572,2,54459
36,36,666,1,74703
37,37,614,1,36676
38,38,629,3,61659
39,39,189,3,70097
40,40,403,2,67032
41,41,289,2,70467
42,42,649,1,75249
43,43,249,3,3756
44,44,378,2,7359
45,45,610,1,57392
46,46,439,3,17899
47,47,165,1,64410
48,48,709,1,70629
49,49,67,3,7065
50,50,149,3,60067
51,51,263,1,49178
52,52,275,3,12853
53,53,334,3,7708
54,54,513,2,54172
55,55,492,2,36996
56,56,584,1,73511
57,57,646,1,49411
58,58,306,1,25298
59,59,223,1,45018
60,60,648,1,30775
61,61,759,3,12149
62,62,695,1,50869
63,63,491,1,45460
64,64,251,1,3492
65,65,263,3,14717
66,66,415,1,24913
67,67,93,3,72743
68,68,312,2,75980
69,69,505,2,63820
70,70,675,3,49695
71,71,546,3,54517
72,72,199,3,22645
73,73,680,2,73020
74,74,349,1,68266
75,75,52,2,46304
76,76,447,2,56035
77,77,359,2,37156
78,78,534,1,54485
79,79,718,2,30601
80,80,229,1,69076
81,81,159,2,60150
82,82,206,2,4094
83,83,2,2,12211
84,84,303,1,43729
85,85,274,2,25525
86,86,722,3,68614
87,87,506,1,41201
88,88,73,3,66130
89,89,76,2,8264
90,90,73,2,53604
91,91,249,1,58845
92,92,647,2,12754
93,93,552,3,64801
94,94,194,2,22202
95,95,721,2,65948
96,96,73,2,68585
97,97,412,1,2277
98,98,161,1,19555
99,99,407,1,23694
100,100,698,3,59446
101,101,746,1,69164
102,102,663,1,53228
103,103,622,1,38753
104,104,653,1,42916
105,105,234,1,33134
106,106,245,2,74672
107,107,284,3,16959
108,108,336,1,38369
109,109,618,2,13392
110,110,241,1,47956
111,111,561,1,17036
112,112,579,3,77326
113,113,406,2,46029
114,114,180,1,67817
115,115,113,1,66843
116,116,273,2,38498
117,117,469,1,33469
118,118,676,3,11070
119,119,61,2,9587
120,120,196,2,16265
121,121,399,1,21242
122,122,354,3,23528
123,123,20,1,29593
124,124,136,2,72637
125,125,134,2,5670
126,126,288,2,66146
127,127,281,1,10756
128,128,687,3,23023
129,129,41,3,68080
130,130,117,1,75382
131,131,176,3,66807
132,132,354,2,59527
133,133,196,3,60774
134,134,754,3,22099
135,135,371,3,29787
136,136,574,1,47529
137,137,21,3,79225
138,138,66,2,71949
139,139,250,2,11731
140,140,563,3,57118
