order_id,order_date,customer_id,seller_id,order_status
1,2024-06-10,899,13,Completed
2,2024-03-22,8,35,Shipped
3,2024-11-27,514,27,Returned
4,2024-05-03,418,52,Completed
5,2024-07-06,121,54,Completed
6,2024-09-27,784,15,Completed
7,2024-08-12,546,19,Returned
8,2024-03-07,317,35,Cancelled
9,2024-01-30,734,2,Completed
10,2024-01-28,671,20,Returned
11,2024-01-30,355,15,Returned
12,2024-10-16,626,12,Shipped
13,2024-07-03,221,6,Cancelled
14,2024-03-21,629,42,Shipped
15,2024-02-19,147,1,Cancelled
16,2024-09-15,847,12,Returned
17,2024-10-04,5,1,Completed
18,2024-10-26,152,51,Shipped
19,2024-09-21,802,26,Cancelled
20,2024-01-24,195,10,Shipped
21,2024-08-16,635,21,Returned
22,2024-08-26,130,54,Cancelled
23,2024-10-03,438,10,Cancelled
24,2024-05-28,680,47,Cancelled
25,2024-08-04,363,22,Shipped
26,2024-09-17,747,17,Shipped
27,2024-07-22,236,15,Shipped
28,2024-02-19,540,51,Returned
29,2024-09-16,414,28,Cancelled
30,2024-07-25,618,8,Completed
31,2024-05-13,442,41,Cancelled
32,2024-04-19,259,24,Returned
33,2024-08-21,843,15,Shipped
34,2024-08-11,531,53,Shipped
35,2024-11-01,746,18,Completed
36,2024-03-06,456,28,Shipped
37,2024-05-25,30,55,Returned
38,2024-09-14,353,50,Cancelled
39,2024-09-12,381,55,Cancelled
40,2024-01-29,483,21,Completed
41,2024-08-21,665,27,Returned
42,2024-04-16,727,31,Shipped
43,2024-03-19,240,19,Completed
44,2024-08-01,182,27,Completed
45,2024-12-16,111,36,Shipped
46,2024-04-01,457,11,Shipped
47,2024-08-16,83,44,Cancelled
48,2024-04-20,821,52,Shipped
49,2024-04-30,715,55,Returned
50,2024-06-07,301,8,Shipped
51,2024-09-02,604,44,Returned
52,2024-03-13,846,9,Cancelled
53,2024-11-27,853,11,Completed
54,2024-09-17,179,20,Returned
55,2024-11-05,169,7,Cancelled
56,2024-07-13,478,21,Completed
57,2024-09-21,145,4,Shipped
58,2024-10-01,284,18,Completed
59,2024-06-19,15,46,Cancelled
60,2024-12-15,531,13,Shipped
61,2024-02-24,781,34,Cancelled
62,2024-02-15,393,31,Completed
63,2024-04-03,649,36,Shipped
64,2024-08-22,758,8,Shipped
65,2024-07-06,872,48,Completed
66,2024-11-09,684,30,Returned
67,2024-01-17,712,45,Shipped
68,2024-07-29,204,3,Shipped
69,2024-03-13,37,15,Cancelled
70,2024-07-15,480,37,Completed
71,2024-10-05,240,26,Completed
72,2024-07-25,202,8,Completed
73,2024-02-04,846,53,Cancelled
74,2024-07-06,343,7,Returned
75,2024-10-26,40,44,Completed
76,2024-02-28,772,10,Returned
77,2024-03-24,77,54,Shipped
78,2024-09-23,702,18,Cancelled
79,2024-09-12,135,21,Returned
80,2024-08-23,46,52,Cancelled
81,2024-12-03,502,44,Completed
82,2024-09-05,534,32,Completed
83,2024-03-16,799,53,Returned
84,2024-01-09,89,45,Completed
85,2024-07-31,271,42,Completed
86,2024-05-17,742,27,Cancelled
87,2024-07-16,48,26,Returned
88,2024-06-23,105,48,Shipped
89,2024-12-15,190,48,Shipped
90,2024-05-05,97,30,Shipped
91,2024-08-04,358,19,Completed
92,2024-12-01,787,3,Cancelled
93,2024-02-05,472,38,Cancelled
94,2024-08-04,608,8,Returned
95,2024-11-07,336,4,Returned
96,2024-11-29,886,1,Completed
97,2024-05-23,355,30,Cancelled
98,2024-05-15,737,37,Shipped
99,2024-08-31,737,38,Shipped
100,2024-01-20,372,37,Completed
101,2024-12-14,632,6,Shipped
102,2024-09-07,705,45,Cancelled
103,2024-10-24,98,53,Returned
104,2024-02-17,662,50,Returned
105,2024-01-31,561,23,Cancelled
106,2024-03-30,137,27,Shipped
107,2024-07-07,878,8,Cancelled
108,2024-05-02,431,44,Completed
109,2024-04-15,446,48,Shipped
110,2024-06-20,310,22,Returned
111,2024-04-29,360,51,Cancelled
112,2024-10-24,834,3,Cancelled
113,2024-09-14,387,30,Completed
114,2024-02-29,879,38,Completed
115,2024-06-20,634,52,Completed
116,2024-10-16,716,3,Cancelled
117,2024-01-04,391,40,Completed
118,2024-11-20,564,51,Shipped
119,2024-02-04,125,35,Cancelled
120,2024-11-05,409,20,Returned
121,2024-08-17,445,36,Completed
122,2024-04-23,300,6,Completed
123,2024-06-10,284,9,Shipped
124,2024-11-04,93,20,Completed
125,2024-02-16,103,51,Shipped
126,2024-09-24,571,43,Returned
127,2024-07-28,89,51,Shipped
128,2024-08-11,631,30,Shipped
129,2024-12-05,336,28,Cancelled
130,2024-09-08,473,44,Shipped
131,2024-12-17,615,40,Shipped
132,2024-03-20,36,29,Returned
133,2024-01-01,29,24,Completed
134,2024-08-31,694,47,Shipped
135,2024-07-21,888,38,Cancelled
136,2024-12-18,30,33,Shipped
137,2024-05-29,118,39,Completed
138,2024-08-24,707,26,Returned
139,2024-06-01,374,27,Shipped
140,2024-07-09,306,54,Shipped
141,2024-06-13,666,52,Shipped
142,2024-11-21,387,44,Cancelled
143,2024-02-25,12,2,Cancelled
144,2024-11-18,276,43,Shipped
145,2024-09-06,136,15,Cancelled
146,2024-01-01,121,21,Cancelled
147,2024-08-12,342,51,Cancelled
148,2024-03-18,829,51,Shipped
149,2024-03-03,756,29,Cancelled
150,2024-01-31,635,15,Cancelled
151,2024-09-01,275,24,Returned
152,2024-11-25,462,45,Returned
153,2024-05-19,17,24,Cancelled
154,2024-08-23,311,28,Completed
155,2024-08-17,731,40,Shipped
156,2024-05-23,714,27,Returned
157,2024-01-25,783,45,Completed
158,2024-04-30,29,3,Returned
159,2024-10-31,886,43,Returned
160,2024-07-22,249,46,Cancelled
161,2024-05-09,309,27,Cancelled
162,2024-07-07,638,23,Completed
163,2024-10-05,633,19,Completed
164,2024-03-20,550,38,Shipped
165,2024-04-04,411,40,Completed
166,2024-12-04,766,21,Returned
167,2024-05-05,41,17,Shipped
168,2024-03-22,253,38,Completed
169,2024-12-28,402,52,Returned
170,2024-11-05,680,44,Cancelled
171,2024-08-31,479,51,Shipped
172,2024-05-19,663,55,Completed
173,2024-09-17,209,5,Completed
174,2024-01-30,461,16,Completed
175,2024-01-12,673,13,Completed
176,2024-05-20,499,18,Cancelled
177,2024-10-10,862,6,Shipped
178,2024-05-12,422,29,Completed
179,2024-07-18,718,24,Returned
180,2024-09-26,336,5,Cancelled
181,2024-03-11,663,32,Returned
182,2024-07-17,765,33,Completed
183,2024-10-06,397,11,Shipped
184,2024-09-08,93,46,Shipped
185,2024-10-12,837,45,Returned
186,2024-10-14,327,21,Returned
187,2024-03-14,321,54,Completed
188,2024-02-27,363,5,Completed
189,2024-02-28,506,43,Returned
190,2024-04-30,498,16,Returned
191,2024-02-23,239,28,Cancelled
192,2024-04-02,707,50,Returned
193,2024-03-10,723,18,Cancelled
194,2024-09-04,548,16,Completed
195,2024-07-28,168,20,Shipped
196,2024-12-21,766,51,Cancelled
197,2024-06-04,203,16,Shipped
198,2024-02-05,52,31,Cancelled
199,2024-08-19,652,10,Cancelled
200,2024-03-21,852,16,Completed
201,2024-03-03,94,50,Completed
202,2024-07-23,873,3,Completed
203,2024-11-21,181,36,Completed
204,2024-03-25,105,28,Completed
205,2024-08-03,507,2,Returned
206,2024-01-18,633,19,Returned
207,2024-04-08,389,13,Returned
208,2024-01-17,618,55,Cancelled
209,2024-08-22,48,31,Completed
210,2024-05-06,133,30,Cancelled
211,2024-07-23,210,1,Returned
212,2024-07-30,320,19,Completed
213,2024-03-25,448,10,Completed
214,2024-01-26,152,53,Shipped
215,2024-09-19,890,26,Shipped
216,2024-12-02,708,36,Shipped
217,2024-04-04,250,17,Returned
218,2024-06-17,419,49,Returned
219,2024-07-09,590,17,Completed
220,2024-05-06,667,37,Returned
221,2024-08-30,838,49,Shipped
222,2024-07-26,761,18,Shipped
223,2024-06-19,887,21,Shipped
224,2024-10-16,600,45,Returned
225,2024-03-30,155,38,Shipped
226,2024-08-01,448,50,Shipped
227,2024-07-19,121,3,Returned
228,2024-06-23,502,8,Cancelled
229,2024-10-21,867,1,Cancelled
230,2024-02-03,441,28,Cancelled
231,2024-10-19,783,48,Completed
232,2024-05-11,677,32,Completed
233,2024-03-09,740,2,Shipped
234,2024-03-15,130,54,Completed
235,2024-11-03,76,22,Shipped
236,2024-03-01,78,15,Returned
237,2024-05-02,441,17,Cancelled
238,2024-03-28,589,37,Returned
239,2024-09-24,886,24,Returned
240,2024-01-25,808,24,Returned
241,2024-07-22,674,38,Cancelled
242,2024-03-09,625,7,Shipped
243,2024-04-04,178,24,Shipped
244,2024-03-23,802,27,Cancelled
245,2024-03-20,176,5,Shipped
246,2024-10-27,577,38,Cancelled
247,2024-08-30,108,19,Completed
248,2024-11-13,896,40,Returned
249,2024-11-13,553,27,Returned
250,2024-12-25,875,41,Cancelled
251,2024-11-29,866,38,Completed
252,2024-03-29,718,45,Returned
253,2024-10-20,816,4,Completed
254,2024-03-11,93,18,Shipped
255,2024-01-16,768,30,Completed
256,2024-06-11,40,52,Completed
257,2024-04-21,209,44,Completed
258,2024-05-14,434,30,Returned
259,2024-06-29,422,48,Returned
260,2024-02-07,202,9,Returned
261,2024-06-12,2,4,Completed
262,2024-05-29,205,27,Cancelled
263,2024-07-22,605,49,Shipped
264,2024-07-19,875,47,Shipped
265,2024-07-14,803,34,Completed
266,2024-12-12,166,40,Cancelled
267,2024-08-01,451,31,Cancelled
268,2024-12-01,262,16,Returned
269,2024-10-30,288,3,Returned
270,2024-03-26,480,9,Cancelled
271,2024-10-28,430,54,Shipped
272,2024-02-03,854,32,Cancelled
273,2024-08-30,347,42,Returned
274,2024-11-16,472,49,Cancelled
275,2024-12-29,98,44,Cancelled
276,2024-08-28,20,1,Completed
